Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Publisher (all),Publisher (unified)
CANCERS,4,2,28,25.0,MDPI,
JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY-JMR&T,4,4,28,50.0,ELSEVIER,Elsevier (Unified)
ACTA PHYSIOLOGICA,4,0,28,0.0,WILEY,Wiley (Unified)
TEHNICKI GLASNIK-TECHNICAL JOURNAL,4,0,28,0.0,UNIV NORTH,
IEEE ACCESS,4,0,28,0.0,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE (Unified)
INFORMATION,4,2,28,25.0,MDPI,
COMPUTATIONAL & APPLIED MATHEMATICS,4,1,28,25.0,SPRINGER HEIDELBERG,Springer Nature (Unified)
CARBOHYDRATE POLYMERS,4,8,28,50.0,ELSEVIER SCI LTD,Elsevier (Unified)
GENES,3,1,39,33.33,MDPI,
BULLETIN OF THE MALAYSIAN MATHEMATICAL SCIENCES SOCIETY,3,2,39,33.33,SPRINGERNATURE,Springer Nature (Unified)
ENTROPY,3,0,39,0.0,MDPI,
PLOS ONE,3,3,39,66.67,PUBLIC LIBRARY SCIENCE,
AGRICULTURE-BASEL,3,0,39,0.0,MDPI,
COMPUTERS & SECURITY,3,0,39,0.0,ELSEVIER ADVANCED TECHNOLOGY,Elsevier (Unified)
FRONTIERS IN CARDIOVASCULAR MEDICINE,3,0,39,0.0,FRONTIERS MEDIA SA,
ELEKTROTEHNISKI VESTNIK,3,0,39,0.0,ELECTROTECHNICAL SOC SLOVENIA,
EUROPEAN PSYCHIATRY,3,0,39,0.0,CAMBRIDGE UNIV PRESS,
MICROORGANISMS,3,7,39,33.33,MDPI,
ANNALS OF SURGICAL ONCOLOGY,3,4,39,66.67,SPRINGER,Springer Nature (Unified)
PEDIATRIC NEPHROLOGY,3,1,39,33.33,SPRINGER,Springer Nature (Unified)
MOLECULES,3,2,39,33.33,MDPI,
LIFE-BASEL,3,4,39,33.33,MDPI,
PHYSICAL REVIEW E,3,13,39,66.67,AMER PHYSICAL SOC,
EDUCATION SCIENCES,3,1,39,33.33,MDPI,
INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,3,0,39,0.0,WILEY,Wiley (Unified)
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,3,2,39,66.67,LIPPINCOTT WILLIAMS & WILKINS,Lippincott Williams & Wilkins (Unified)
PHARMACEUTICALS,3,0,39,0.0,MDPI,
DISCRETE APPLIED MATHEMATICS,3,0,39,0.0,ELSEVIER,Elsevier (Unified)
EJSO,3,0,39,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
LEXONOMICA,3,0,39,0.0,"UNIV MARIBOR, FAC LAW",
JOURNAL OF CLEANER PRODUCTION,3,3,39,66.67,ELSEVIER SCI LTD,Elsevier (Unified)
EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,3,0,39,0.0,ELSEVIER,Elsevier (Unified)
BIOPHYSICAL JOURNAL,3,4,39,33.33,CELL PRESS,Elsevier (Unified)
ANIMALS,2,0,64,0.0,MDPI,
JOURNAL OF ALLOYS AND COMPOUNDS,2,11,64,100.0,ELSEVIER SCIENCE SA,Elsevier (Unified)
KYBERNETES,2,0,64,0.0,EMERALD GROUP PUBLISHING LTD,
ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,2,0,64,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
JOURNAL OF MANUFACTURING PROCESSES,2,4,64,50.0,ELSEVIER SCI LTD,Elsevier (Unified)
MATHEMATICAL BIOSCIENCES AND ENGINEERING,2,3,64,50.0,AMER INST MATHEMATICAL SCIENCES-AIMS,
SCIENTIFIC DATA,2,0,64,0.0,NATURE PORTFOLIO,Springer Nature (Unified)
SYMMETRY-BASEL,2,0,64,0.0,MDPI,
BIOMEDICINES,2,2,64,100.0,MDPI,
INTERNATIONAL JOURNAL OF CLINICAL PHARMACY,2,1,64,50.0,SPRINGER,Springer Nature (Unified)
JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,2,1,64,50.0,ELSEVIER SCI LTD,Elsevier (Unified)
NUTRIENTS,2,3,64,100.0,MDPI,
BIOSENSORS-BASEL,2,1,64,50.0,MDPI,
ACS APPLIED MATERIALS & INTERFACES,2,2,64,100.0,AMER CHEMICAL SOC,
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,2,0,64,0.0,COGNIZANT COMMUNICATION CORP,
FRONTIERS IN PSYCHIATRY,2,0,64,0.0,FRONTIERS MEDIA SA,
RADIOLOGY AND ONCOLOGY,2,4,64,100.0,WALTER DE GRUYTER GMBH,Walter De Gruyter (Unified)
SURGERY,2,0,64,0.0,MOSBY-ELSEVIER,Elsevier (Unified)
FRONTIERS IN PLANT SCIENCE,2,1,64,50.0,FRONTIERS MEDIA SA,
NONLINEAR DYNAMICS,2,4,64,50.0,SPRINGER,Springer Nature (Unified)
TEHNICKI VJESNIK-TECHNICAL GAZETTE,2,0,64,0.0,"UNIV OSIJEK, TECH FAC",
JOURNAL OF SURGICAL CASE REPORTS,2,0,64,0.0,OXFORD UNIV PRESS,Oxford University Press (Unified)
SYSTEMS,2,2,64,50.0,MDPI,
MEDICINE LAW & SOCIETY,2,0,64,0.0,"UNIV MARIBOR, FAC LAW",
METALS,2,0,64,0.0,MDPI,
REACTIVE & FUNCTIONAL POLYMERS,2,0,64,0.0,ELSEVIER,Elsevier (Unified)
HEMIJSKA INDUSTRIJA,2,1,64,50.0,ASSOC CHEMICAL ENGINEERS SERBIA,
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,2,0,64,0.0,ELSEVIER,Elsevier (Unified)
JOURNAL OF CARDIOVASCULAR DEVELOPMENT AND DISEASE,2,1,64,50.0,MDPI,
ANTIOXIDANTS,2,12,64,50.0,MDPI,
EXPERIMENTAL BRAIN RESEARCH,2,1,64,50.0,SPRINGER,Springer Nature (Unified)
THEORETICAL COMPUTER SCIENCE,2,2,64,50.0,ELSEVIER,Elsevier (Unified)
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,2,0,64,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
PHARMACEUTICS,2,1,64,50.0,MDPI,
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,2,0,64,0.0,ELSEVIER,Elsevier (Unified)
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2,0,64,0.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
CHEMOSENSORS,2,0,64,0.0,MDPI,
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,2,6,64,50.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
SIGNA VITAE,2,2,64,50.0,MRE PRESS,
BMC HEALTH SERVICES RESEARCH,2,0,64,0.0,BMC,Springer Nature (Unified)
DISCRETE MATHEMATICS,2,0,64,0.0,ELSEVIER,Elsevier (Unified)
PRIMERJALNA KNJIZEVNOST,2,0,64,0.0,SLOVENE COMPARATIVE LITERATURE ASSOC,
INTERNATIONAL JOURNAL OF SIMULATION MODELLING,2,0,64,0.0,DAAAM INTERNATIONAL VIENNA,
NANOTECHNOLOGY REVIEWS,2,1,64,50.0,DE GRUYTER POLAND SP Z O O,Walter de Gruyter (Unified)
CURRENT ISSUES IN MOLECULAR BIOLOGY,2,0,64,0.0,MDPI,
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,2,1,64,50.0,BMJ PUBLISHING GROUP,
JOURNAL OF COMPUTATIONAL SCIENCE,2,1,64,50.0,ELSEVIER,Elsevier (Unified)
ANALYST,2,4,64,50.0,ROYAL SOC CHEMISTRY,
ORGANIZACIJA,2,0,64,0.0,SCIENDO,
INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,2,0,64,0.0,WILEY,Wiley (Unified)
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,2,1,64,50.0,WILEY,Wiley (Unified)
JOURNAL OF CHEMICAL INFORMATION AND MODELING,2,2,64,50.0,AMER CHEMICAL SOC,
FRONTIERS IN PHYSIOLOGY,2,1,64,50.0,FRONTIERS MEDIA SA,
PHYSICS OF LIFE REVIEWS,2,21,64,50.0,ELSEVIER,Elsevier (Unified)
AGRONOMY-BASEL,2,0,64,0.0,MDPI,
WORLD JOURNAL OF CLINICAL CASES,2,1,64,50.0,BAISHIDENG PUBLISHING GROUP INC,
"2023 32ND ANNUAL CONFERENCE OF THE EUROPEAN ASSOCIATION FOR EDUCATION IN ELECTRICAL AND INFORMATION ENGINEERING, EAEEIE",2,0,64,0.0,IEEE,IEEE (Unified)
SUSTAINABLE ENERGY & FUELS,2,2,64,50.0,ROYAL SOC CHEMISTRY,
PHOTONICS,2,3,64,100.0,MDPI,
THERMAL SCIENCE,2,1,64,50.0,VINCA INST NUCLEAR SCI,
CHAOS,2,6,64,100.0,AIP Publishing,
PHYSICAL REVIEW D,2,1,64,50.0,AMER PHYSICAL SOC,
EPL,2,7,64,100.0,IOP Publishing Ltd,
PROBLEMS OF EDUCATION IN THE 21ST CENTURY,2,0,64,0.0,SCIENTIA SOCIALIS,
MEDITERRANEAN JOURNAL OF MATHEMATICS,2,1,64,50.0,SPRINGER BASEL AG,Springer Nature (Unified)
BMC PRIMARY CARE,1,0,129,0.0,BMC,Springer Nature (Unified)
FRONTIERS IN ENERGY RESEARCH,1,1,129,100.0,FRONTIERS MEDIA SA,
POLICY FUTURES IN EDUCATION,1,0,129,0.0,SAGE PUBLICATIONS LTD,Sage (Unified)
JOURNAL OF PRAGMATICS,1,2,129,100.0,ELSEVIER,Elsevier (Unified)
MATERIALS AND MANUFACTURING PROCESSES,1,1,129,100.0,TAYLOR & FRANCIS INC,Taylor & Francis (Unified)
ACTA MATHEMATICA SINICA-ENGLISH SERIES,1,0,129,0.0,SPRINGER HEIDELBERG,Springer Nature (Unified)
PLASMA SOURCES SCIENCE & TECHNOLOGY,1,1,129,100.0,IOP Publishing Ltd,
DIGESTIVE AND LIVER DISEASE,1,0,129,0.0,ELSEVIER SCIENCE INC,Elsevier (Unified)
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,1,0,129,0.0,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE (Unified)
JOURNALISM PRACTICE,1,1,129,100.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
JOURNAL OF INSTRUMENTATION,1,1,129,100.0,IOP Publishing Ltd,
ELEKTRONIKA IR ELEKTROTECHNIKA,1,0,129,0.0,KAUNAS UNIV TECHNOLOGY,
JOURNAL OF BALTIC SCIENCE EDUCATION,1,0,129,0.0,SCI METHODICAL CTR-SCI EDUCOLOGICA,
FRONTIERS IN ONCOLOGY,1,0,129,0.0,FRONTIERS MEDIA SA,
CRIMINAL JUSTICE AND BEHAVIOR,1,0,129,0.0,SAGE PUBLICATIONS INC,Sage (Unified)
JOURNAL OF MEDICAL EDUCATION AND CURRICULAR DEVELOPMENT,1,0,129,0.0,SAGE PUBLICATIONS LTD,Sage (Unified)
JOURNAL OF STATISTICAL PHYSICS,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
PASTORAL PSYCHOLOGY,1,1,129,100.0,SPRINGER,Springer Nature (Unified)
CLINICAL NEURORADIOLOGY,1,0,129,0.0,SPRINGER HEIDELBERG,Springer Nature (Unified)
FORENSIC SCIENCE MEDICINE AND PATHOLOGY,1,1,129,100.0,HUMANA PRESS INC,Springer Nature (Unified)
MEDICINE & SCIENCE IN SPORTS & EXERCISE,1,0,129,0.0,LIPPINCOTT WILLIAMS & WILKINS,Lippincott Williams & Wilkins (Unified)
FOLIA MORPHOLOGICA,1,1,129,100.0,VIA MEDICA,
COATINGS,1,0,129,0.0,MDPI,
PANOECONOMICUS,1,0,129,0.0,SAVEZ EKONOMISTA VOJVODINE,
LWT-FOOD SCIENCE AND TECHNOLOGY,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
THIN-WALLED STRUCTURES,1,1,129,100.0,ELSEVIER SCI LTD,Elsevier (Unified)
STRATEGIC MANAGEMENT,1,2,129,100.0,"UNIV NOVI SAD, FAC ECONOMICS SUBOTICA",
SCIENCE AND TECHNOLOGY OF WELDING AND JOINING,1,2,129,100.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
NPJ MATERIALS DEGRADATION,1,2,129,100.0,NATURE PORTFOLIO,Springer Nature (Unified)
INFECTIOUS DISEASE REPORTS,1,0,129,0.0,MDPI,
COMPUTERS & CHEMICAL ENGINEERING,1,2,129,100.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
RESULTS IN MATHEMATICS,1,0,129,0.0,SPRINGER BASEL AG,Springer Nature (Unified)
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,1,15,129,100.0,ELSEVIER,Elsevier (Unified)
BIOMASS & BIOENERGY,1,1,129,100.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
ENVIRONMENTAL POLLUTANTS AND BIOAVAILABILITY,1,0,129,0.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
MULTIPLE SCLEROSIS JOURNAL,1,0,129,0.0,SAGE PUBLICATIONS LTD,Sage (Unified)
ENERGY TECHNOLOGY,1,0,129,0.0,WILEY-V C H VERLAG GMBH,Wiley (Unified)
INDIAN JOURNAL OF PURE & APPLIED MATHEMATICS,1,0,129,0.0,INDIAN NAT SCI ACAD,
BRAZILIAN JOURNAL OF ANESTHESIOLOGY,1,0,129,0.0,ELSEVIER SCIENCE INC,Elsevier (Unified)
PERSON AND THE CHALLENGES-THE JOURNAL OF THEOLOGY EDUCATION CANON LAW AND SOCIAL STUDIES INSPIRED BY POPE JOHN PAUL II,1,0,129,0.0,"PONTIFICIAL UNIV JOHN PAUL II CRACOW, FAC THEOLOGY, SEC TARNOW",
ACS OMEGA,1,1,129,100.0,AMER CHEMICAL SOC,
JOURNAL OF HEALTHCARE INFORMATICS RESEARCH,1,1,129,100.0,SPRINGERNATURE,Springer Nature (Unified)
JOURNAL OF BIOMEDICAL INFORMATICS,1,0,129,0.0,ACADEMIC PRESS INC ELSEVIER SCIENCE,Elsevier (Unified)
ADVANCED HEALTHCARE MATERIALS,1,0,129,0.0,WILEY,Wiley (Unified)
ADVANCED BIOLOGY,1,3,129,100.0,WILEY-V C H VERLAG GMBH,Wiley (Unified)
PSYCHOLOGICAL ASSESSMENT,1,0,129,0.0,AMER PSYCHOLOGICAL ASSOC,Amer Psychological Assoc (Unified)
EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,1,0,129,0.0,SPRINGER HEIDELBERG,Springer Nature (Unified)
ANNALS OF SURGERY,1,8,129,100.0,LIPPINCOTT WILLIAMS & WILKINS,Lippincott Williams & Wilkins (Unified)
MICROCHEMICAL JOURNAL,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
DIVERSITY-BASEL,1,1,129,100.0,MDPI,
INORGANICA CHIMICA ACTA,1,0,129,0.0,ELSEVIER SCIENCE SA,Elsevier (Unified)
JOURNAL OF MOLECULAR LIQUIDS,1,1,129,100.0,ELSEVIER,Elsevier (Unified)
BREAST CANCER-TARGETS AND THERAPY,1,0,129,0.0,DOVE MEDICAL PRESS LTD,
JOURNAL OF DATABASE MANAGEMENT,1,0,129,0.0,IGI GLOBAL,
PEDIATRIC INFECTIOUS DISEASE JOURNAL,1,2,129,100.0,LIPPINCOTT WILLIAMS & WILKINS,Lippincott Williams & Wilkins (Unified)
CRYSTALS,1,0,129,0.0,MDPI,
SUSTAINABLE BUSINESS MANAGEMENT AND DIGITAL TRANSFORMATION: CHALLENGES AND OPPORTUNITIES IN THE POST-COVID ERA,1,0,129,0.0,SPRINGER INTERNATIONAL PUBLISHING AG,Springer Nature (Unified)
APPLIED ANIMAL BEHAVIOUR SCIENCE,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
PHLEBOLOGY,1,0,129,0.0,SAGE PUBLICATIONS INC,Sage (Unified)
INTERNATIONAL JOURNAL OF SOCIOLOGY,1,1,129,100.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
BEHAVIORAL SCIENCES,1,0,129,0.0,MDPI,
ROYAL SOCIETY OPEN SCIENCE,1,0,129,0.0,ROYAL SOC,
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,1,8,129,100.0,CLINICAL & EXPER RHEUMATOLOGY,
QUALITATIVE THEORY OF DYNAMICAL SYSTEMS,1,0,129,0.0,SPRINGER BASEL AG,Springer Nature (Unified)
AGROLIFE SCIENTIFIC JOURNAL,1,0,129,0.0,UNIV AGRONOMIC SCIENCES & VETERINARY MEDICINE BUCHAREST - USAMV,
JOURNAL OF GERIATRIC ONCOLOGY,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
PRISON JOURNAL,1,0,129,0.0,SAGE PUBLICATIONS INC,Sage (Unified)
JOURNAL OF PHYSICS-COMPLEXITY,1,5,129,100.0,IOP Publishing Ltd,
IEEE TRANSACTIONS ON RADIATION AND PLASMA MEDICAL SCIENCES,1,0,129,0.0,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE (Unified)
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,1,0,129,0.0,SPRINGER/PLENUM PUBLISHERS,Springer Nature (Unified)
WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,1,2,129,100.0,"WILEY PERIODICALS, INC",Wiley (Unified)
AXIOMS,1,0,129,0.0,MDPI,
EARLY CHILDHOOD EDUCATION JOURNAL,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,1,1,129,100.0,WILEY,Wiley (Unified)
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,1,0,129,0.0,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE (Unified)
EXPERT SYSTEMS WITH APPLICATIONS,1,1,129,100.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
ACS APPLIED POLYMER MATERIALS,1,1,129,100.0,AMER CHEMICAL SOC,
JOURNAL OF THE INTERNATIONAL SOCIETY OF SPORTS NUTRITION,1,0,129,0.0,TAYLOR & FRANCIS INC,Taylor & Francis (Unified)
ARS & HUMANITAS: JOURNAL OF ARTS AND HUMANITIES,1,0,129,0.0,UNIV LJUBLJANA,
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,1,1,129,100.0,SPRINGER,Springer Nature (Unified)
"EXPERIMENTAL RESEARCH AND NUMERICAL SIMULATION IN APPLIED SCIENCES, CNNTECH 2022",1,0,129,0.0,SPRINGER INTERNATIONAL PUBLISHING AG,Springer Nature (Unified)
NEURAL COMPUTING & APPLICATIONS,1,0,129,0.0,SPRINGER LONDON LTD,Springer Nature (Unified)
INTERNATIONAL JOURNAL OF SOCIOLOGY OF EDUCATION,1,0,129,0.0,HIPATIA PRESS,
ZEITSCHRIFT FUR GASTROENTEROLOGIE,1,0,129,0.0,GEORG THIEME VERLAG KG,Thieme Medical Publishers (Unified)
QUAESTIONES MATHEMATICAE,1,1,129,100.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
FRONTIERS IN ENDOCRINOLOGY,1,0,129,0.0,FRONTIERS MEDIA SA,
JOURNAL OF THEORETICAL BIOLOGY,1,6,129,100.0,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,Elsevier (Unified)
JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS,1,0,129,0.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
CARBON,1,1,129,100.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
TECHTRENDS,1,0,129,0.0,SPRINGER INT PUBL AG,Springer Nature (Unified)
EAST EUROPEAN POLITICS,1,1,129,100.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
EUROPEAN JOURNAL OF GENERAL PRACTICE,1,1,129,100.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
EUROPEAN JOURNAL OF COMBINATORICS,1,0,129,0.0,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,Elsevier (Unified)
EDUCATION AND INFORMATION TECHNOLOGIES,1,1,129,100.0,SPRINGER,Springer Nature (Unified)
INTERNATIONAL JOURNAL OF STROKE,1,0,129,0.0,SAGE PUBLICATIONS LTD,Sage (Unified)
JOURNAL OF HISTORICAL PRAGMATICS,1,0,129,0.0,JOHN BENJAMINS PUBLISHING CO,
JOURNAL OF BEHAVIORAL ADDICTIONS,1,0,129,0.0,AKADEMIAI KIADO ZRT,
FRONTIERS IN IMMUNOLOGY,1,2,129,100.0,FRONTIERS MEDIA SA,
JOURNAL OF PHYSICS-ENERGY,1,0,129,0.0,IOP Publishing Ltd,
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY-IN PRACTICE,1,1,129,100.0,ELSEVIER,Elsevier (Unified)
JOURNAL OF ELECTROCHEMICAL SCIENCE AND ENGINEERING,1,0,129,0.0,INT ASSOC PHYSICAL CHEMISTS-IAPC,
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,1,4,129,100.0,WILEY,Wiley (Unified)
PARKINSONISM & RELATED DISORDERS,1,0,129,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
THERMAL SCIENCE AND ENGINEERING PROGRESS,1,3,129,100.0,ELSEVIER,Elsevier (Unified)
MITTEILUNGEN KLOSTERNEUBURG,1,0,129,0.0,HOHERE BUNDESLEHRANSTALT & BUNDESAMT WEIN-& OBSTBAU KLOSTERNEUBURG,
COMPARATIVE EUROPEAN POLITICS,1,0,129,0.0,PALGRAVE MACMILLAN LTD,Springer Nature (Unified)
EXPERT OPINION ON THERAPEUTIC TARGETS,1,0,129,0.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
ANNALS OF COMBINATORICS,1,0,129,0.0,SPRINGER BASEL AG,Springer Nature (Unified)
NATIONALITIES PAPERS-THE JOURNAL OF NATIONALISM AND ETHNICITY,1,0,129,0.0,CAMBRIDGE UNIV PRESS,
COGENT BUSINESS & MANAGEMENT,1,0,129,0.0,TAYLOR & FRANCIS AS,Taylor & Francis (Unified)
BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY,1,1,129,100.0,CAMBRIDGE UNIV PRESS,
LEISURE SCIENCES,1,0,129,0.0,TAYLOR & FRANCIS INC,Taylor & Francis (Unified)
LIVESTOCK SCIENCE,1,1,129,100.0,ELSEVIER,Elsevier (Unified)
NATURE GENETICS,1,11,129,100.0,NATURE PORTFOLIO,Springer Nature (Unified)
INSECTS,1,0,129,0.0,MDPI,
APPETITE,1,0,129,0.0,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,Elsevier (Unified)
STUDIES IN BUSINESS AND ECONOMICS,1,1,129,100.0,SCIENDO,
ANALYTICAL METHODS,1,0,129,0.0,ROYAL SOC CHEMISTRY,
CENTRAL EUROPEAN BUSINESS REVIEW,1,0,129,0.0,UNIV ECONOMICS-PRAGUE,
IEEE TRANSACTIONS ON SMART GRID,1,0,129,0.0,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE (Unified)
COMPUTATIONAL PARTICLE MECHANICS,1,0,129,0.0,SPRINGER INT PUBL AG,Springer Nature (Unified)
INDUSTRIAL CROPS AND PRODUCTS,1,2,129,100.0,ELSEVIER,Elsevier (Unified)
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,1,0,129,0.0,WORLD SCIENTIFIC PUBL CO PTE LTD,World Scientific (Unified)
ADMINISTRATIVE SCIENCES,1,0,129,0.0,MDPI,
FRONTIERS IN HUMAN NEUROSCIENCE,1,1,129,100.0,FRONTIERS MEDIA SA,
SEPARATION AND PURIFICATION TECHNOLOGY,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
BUSINESS PROCESS MANAGEMENT JOURNAL,1,2,129,100.0,EMERALD GROUP PUBLISHING LTD,
TOXICOLOGY LETTERS,1,0,129,0.0,ELSEVIER IRELAND LTD,Elsevier (Unified)
JOURNAL OF HAND THERAPY,1,0,129,0.0,HANLEY & BELFUS-ELSEVIER INC,Elsevier (Unified)
LUBRICANTS,1,6,129,100.0,MDPI,
VACCINES,1,0,129,0.0,MDPI,
MACROMOLECULES,1,0,129,0.0,AMER CHEMICAL SOC,
INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
ADVANCED SCIENCE,1,0,129,0.0,WILEY,Wiley (Unified)
JOURNAL OF MENS HEALTH,1,0,129,0.0,MRE PRESS,
PROGRESS IN ORGANIC COATINGS,1,0,129,0.0,ELSEVIER SCIENCE SA,Elsevier (Unified)
STRUCTURAL CONTROL & HEALTH MONITORING,1,0,129,0.0,JOHN WILEY & SONS LTD,Wiley (Unified)
JOURNAL OF ADVANCED NURSING,1,0,129,0.0,WILEY,Wiley (Unified)
